Bug ID,Key,Summary,Fix Versions,Affected Versions,Commit ID,File Paths
13585341,HIVE-28366,Iceberg: Concurrent Insert and IOW produce incorrect result ,4.1.0,4.0.0,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13584711,HIVE-28360,"Upgrade jersey to version 1.19.4,","4.1.0, 4.0.1",3.1.3,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13584018,HIVE-28355,Fix intermittent failure of TestHplSqlViaBeeLine#testUNIX_TIMESTAMPHplSQLFunction,"4.1.0, 4.0.1",N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13584003,HIVE-28353,Iceberg: Reading *Files Metadata table files if the column is of TIMESTAMP type,"4.1.0, 4.0.1",4.0.0,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13583729,HIVE-28347,"Make a UDAF 'collect_set' work with complex types, even when map-side aggregation is disabled.","4.1.0, 4.0.1","2.4.0, 3.1.3, 4.0.0",b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13583029,HIVE-28338,Client connection count is not correct in HiveMetaStore#close,"4.1.0, 4.0.1",N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13582990,HIVE-28337,Process timestamps at UTC timezone instead of local timezone in MetaStoreUtils,"4.1.0, 4.0.1",N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13582971,HIVE-28334,Support queries with function expression in the prepare execute workflow,"4.1.0, 4.0.1",N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13582678,HIVE-28330,Fix example output of UDFHex,4.1.0,4.0.0,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
13582632,HIVE-28327,Missing null-check in TruncDateFromTimestamp,"4.1.0, 4.0.1",N/A,b431e11eb19def7df978547bd161ba102d59083c,"iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java, iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java, iceberg/iceberg-handler/src/test/queries/positive/iceberg_stats.q, iceberg/iceberg-handler/src/test/results/positive/iceberg_stats.q.out, iceberg/iceberg-handler/src/test/results/positive/write_iceberg_branch.q.out, ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveUtils.java, ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java, ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java"
